quote,author,category
LIFE IS SUBVERSIVE,"Ernesto Cardenal, Zero Hour And Other Documentary Poems","catholicism, marxism, poetry"
Love doesn’t make you a poet, it makes you poetry.,Yarro Rai
Memory revises me.,"Li-Young Lee, The City in Which I Love You",poetry
"We are all poets, really.",Walter Lowenfels,"people, poetry, poets"
You say you are a poet of law, I saw you are a contradiction in terms. I only wonder there were not comets and earthquakes on the night you appeared in this garden,"G.K. Chesterton, The Man Who Was Thursday: A Nightmare"
Do not be afraid, our fateCannot be taken from us, it is a gift.
Bombs have kill-radiuses, churches should have love-radiuses--anyone within twenty miles of a church should know it.,"Tyler Edwards, Zombie Church: Breathing Life Back Into the Body of Christ"
Grace saved my life, it can revolutionize yours.,"Jay Bakker, Fall to Grace: A Revolution of God, Self & Society"
Faith has size.,"Toba Beta, My Ancestor Was an Ancient Astronaut","faith, measurable"
Even fear afraid of faith.,"Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza","faith, fear"
Truth never dies.,"Ngũgĩ wa Thiong’o, In the House of the Interpreter","faith, principles, truth"
Life did come with a manual.,Joyce Rachelle,"bible, bible-journaling, bible-verse, christian, christian-life, christianity, faith, jesus, life, life-issues, life-manual, life-quote, life-quotes, manual, mindfulness, spiritual, spirituality"
Why I love Jesus Christ, He saved me from my sins.,Lailah Gifty Akita
You cling on to the truth, no one in the world can shake your faith and devotion.,Dada Bhagwan
Faith is in your Heart, Religion is in your Head.,Gabbo De La Parra
Faith Food Fun,dELSON,"faith, food, spirituality"
Failure is falling up!,Dr. Sean McMillan,faith
To love anyone is to risk.,"Stephanie Morrill, The Lost Girl of Astor Street","belief, faith, love, risk"
I have a mustard seed, and I am not afraid to use it,Joseph Ratzinger
God is my happy place,Izey Victoria Odiase,"christian, comfort, faith, god, happy, inspiration, inspirational-quotes, joy, motivation, motivational, motivational-quotes, peace"
We don’t change to believe, we believe to change! (el),"Evinda Lepins, Back to Single"
Ideas aren't magical, the only tricky part is holding on to one long enough to get it written down. ,Lynn Abbey
My books are water, those of the great geniuses is wine. Everybody drinks water.,"Mark Twain, Notebook"
