quote,author,category
"Could you hold the chainsaw a bit closer to your mouth, please?","Chuck Palahniuk, Invisible Monsters",humor
"I'm sorry I hurt your hand...with my face.""-Bobby Pendragon",D.J. MacHale,humor
A joke is an epigram on the death of a feeling.,Friedrich Nietzsche,"humor, humour, jokes"
"If warm air rises, Heaven could be hotter than Hell.",Steven Wright,"absurd, humor"
I hear your insults and plan to silence them with my victory.,"Claudia Gray, Stargazer","book, humor"
"I named my dog Stay, so I can say, 'Come here, Stay! Come here, Stay!",Steven Wright,humor
The problem with a life spent reading is you know too much.,"Josh Lanyon, The Dickens with Love","humor, reading, witty"
We are gods with anuses.,"Ernest Becker, The Denial of Death","existentialism, human-condition, humor, philosofy, psychology, religion"
All sins are forgiven once you start making a lot of money.,RuPaul,"humor, money, past, present, sins, thought, truth"
She runs the gamut of emotions from A to B.,Dorothy Parker,"bad-reviews, classic-insult, drama-critic, humor, katharine-hepburn"
"Was that you, Pooky Bear?","Susan Ee, World After","humor, pooky-bear, swords"
"If he's getting married, he's not longer interesting.","Colette, Gigi & The Cat","humor, marriage, men"
I totally carpe-d the snot out of this diem!,Jerry Scott,"carpe-diem, humor, latin, zits"
"God, I love a man who reads","Tiffany Reisz, Seven Day Loan",humor
My geekness is a-quivering.,"Jack Thorne, Harry Potter and the Cursed Child - Parts One and Two","humor, scorpius-malfoy"
It took teams of LEP warlocks to slow down time for a few hours, the magic required to open a door to the tunnel was stupendous. It would be easier to shoot down the moon.Opal tapped this into her notepad.Reminder. Shoot down the moon? Viable?,"Eoin Colfer, The Time Paradox"
We were just looking at maps...,"Rick Riordan, The Battle of the Labyrinth","excuse, humor, map"
I've won Satan's lottery.,"Christopher Moore, Bloodsucking Fiends","humor, vampires"
"In my mind, I'm probably the biggest sex maniac you ever saw.","J.D. Salinger, The Catcher in the Rye",humor
"Oh shit, the mummy's after us, let's all walk a little faster","Stephen King, Desperation",humor
Why are there five syllables in the word “monosyllabic”?,Steven Wright,humor
A novelist can’t be without a kimono and pen!(Shigure),"Natsuki Takaya, Fruits Basket, Vol. 1","humor, kimono, novelists, shigure, writers"
"Well, I'm about as tall as a shotgun, and just as noisy.",Truman Capote,"humor, self-description"
"The source of all humor is not laughter, but sorrow.",Mark Twain,"humor, mark-twain, sorrow"
The dead are way more organized than the living.,"China Miéville, Un Lun Dun","dead, death, humor"
It seemed Lady Luck hated me worse than usual.,"Julie Kagawa, The Immortal Rules","allison, fave, humor"
Why is a carrot more orange than an orange?,Steven Wright,humor
One can never have enough socks,"J.K. Rowling, Harry Potter and the Sorcerer's Stone","dumbledore, harry-potter, humor, true"
My Zombie apocalypse plan is simple but effective, I fully intend to die in the very first wave.Seems more logical than undergoing all kinds of hardships only to die eventually anyway (through bites/malnutrition/or terminally chapped lips),Graham Parke
"They said I was a valued customer, now they send me hate mail.","Sophie Kinsella, Confessions of a Shopaholic","funny, humor, humour, shopping"
"When humor goes, there goes civilization.",Erma Bombeck,"civilization, humor, society"
And so the Universe ended.,"Douglas Adams, The Restaurant at the End of the Universe",humor
Compromise is a stalling between two fools.,Stephen Fry,"compromise, foolishness, fools, humor"
Sarcasm creates a chasm between yourself and others.,Gayle Forman,"humor, sarcasm"
I commend my soul to any god that can find it.,"Terry Pratchett, Going Postal","humor, moist-von-lipwig"
Kitty need's a tounge bath,"Jeaniene Frost, Halfway to the Grave","action, humor, romance, vampire"
Murder is like potato chips: you can't stop with just one.,"Stephen King, Under the Dome","humor, murder"
Good-humor is a philosophic state of mind, it seems to say to Nature that we take her no more seriously than she takes us. I maintain that one should always talk of philosophy with a smile.,"William James, The Varieties of Religious Experience"
Have you met the French? My...GOD they know how to party!,"Steven Moffat, The Brilliant Book of Doctor Who 2011",humor
Am I still married to a cat? (Adrian),"Richelle Mead, The Ruby Circle","alchemist, humor, vampire"
Kalle Fucking Blomkvist,"Stieg Larsson, The Girl Who Played with Fire",humor
Get me outa here. F*ckin' creepy cheerleaders.,"Lisa McMann, Wake","cabel, funny, humor, lisa-mcmann, wake"
How’s Her Royal Bitchiness?” “Alive.” “Pity.,"Nalini Singh, Angels' Blood",humor
Fuck! Is one expected to be a gentleman when one is stiff?,Marquis de Sade,"humor, sadism, sex"
"Tink's a Disneyland whore!""-Jenks",Kim Harrison,humor
Start every day off with a smile and get it over with.,W.C. Fields,"curmudgeon, humor"
Here's a rule I recommend: Never practice two vices at once.,Tallulah Bankhead,"humor, sex, vice"
All writers should be put in a box and thrown in the sea.,Gordon B. Hinckley,"humor, writers, writing"
Literary detection and firearms don't really go hand in hand, pen mighter than the sword and so forth. ,"Jasper Fforde, The Eyre Affair"
This is the problem with forever friends. They know too much.,"Kristin Hannah, Firefly Lane",humor
A day without laughter is a day wasted.,Nicolas Chamfort,philosophy
You talk when you cease to be at peace with your thoughts.,"Kahlil Gibran, The Prophet","philosophy, poetry"
Man is the only creature who refuses to be what he is.,Albert Camus,"human-nature, man, mankind, philosophy"
"There is nothing either good or bad, but thinking makes it so.","William Shakespeare, Hamlet",philosophy
Wise men speak because they have something to say, fools because they have to say something.,Plato
Trust yourself. You know more than you think you do.,Benjamin Spock,"parenting, philosophy, self-assurance"
Those who know do not speak. Those who speak do not know.,"Lao Tzu, Tao Teh Ching","philosophy, wayfinding"
"Heard melodies are sweet, but those unheard, are sweeter","John Keats, Ode on a Grecian Urn and Other Poems","philosophy, religion, science"
A paranoid is someone who knows a little of what's going on. ,William S. Burroughs,"drugs, philosophy, politics"
Music is ... A higher revelation than all Wisdom & Philosophy,Ludwig van Beethoven,"music, philosophy, revelation, wisdom"
"Like all magnificent things, it's very simple.","Natalie Babbitt, Tuck Everlasting","elegance, philosophy, simplicity"
Science is not only compatible with spirituality, it is a profound source of spirituality.,"Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark"
"Life is really simple, but we insist on making it complicated.",Confucius,"complexity, philosophy, simplicity"
I would believe only in a God that knows how to dance.,Friedrich Nietzsche,philosophy
"Be kind, for everyone you meet is fighting a hard battle.",Socrates,philosophy
The first duty of a man is to think for himself,José Martí,"communism, democracy, freedom, history, hope, individualism, philosophy, politics, revolution, socialism"
Time is a game played beautifully by children.,"Heraclitus, Fragments","fragment-52, games, heraclitus, leisure, philosophy, play, time, wisdom"
"One is not born, but rather becomes, a woman.","Simone de Beauvoir, The Second Sex","feminism, philosophy"
belief is the death of intelligence.,"Robert Anton Wilson, Cosmic Trigger: Die letzten Geheimnisse der Illuminaten oder An den Grenzen des erweiterten Bewusstseins","atheism, belief, faith, intelligence, metaphysics, philosophy, religion"
I would never die for my beliefs because I might be wrong.,Bertrand Russell,"paraphrased, philosophy"
The journey is what brings us happiness not the destination.,"Dan Millman, Way of the Peaceful Warrior: A Book That Changes Lives","philosophy, wisdom"
Wisest is she who knows she does not know.,"Jostein Gaarder, Sophie's World","philosophy, self-knowledge"
Happiness consists in frequent repetition of pleasure,Arthur Schopenhauer,"happiness, philosophy"
I don't want to be a tree, I want to be its meaning.,"Orhan Pamuk, My Name is Red"
"You show me a capitalist, and I'll show you a bloodsucker",Malcolm X,"communism, democracy, freedom, history, hope, individualism, philosophy, politics, revolution, socialism"
Every strike brings me closer to the next home run.,Babe Ruth,"baseball, perseverance, philosophy, sports"
People know what they do, frequently they know why they do what they do, but what they don't know is what what they do does.
The flame that burns Twice as bright burns half as long.,"Lao Tzu, Te Tao Ching","aphorism, philosophy, proverb"
"Know thyself? If I knew myself, I'd run away.",Johann Wolfgang von Goethe,philosophy
The eye sees only what the mind is prepared to comprehend.,"Robertson Davies, Tempest-Tost","belief, bias, knowledge, perception, philosophy, reality"
There are no ordinary moments.,"Dan Millman, Way of the Peaceful Warrior: A Book That Changes Lives","philosophy, wisdom"
"Take it easy, but take it.",Woody Guthrie,"inspiration, philosophy"
The menu is not the meal.,Alan W. Watts,"language, metaphysics, names, nominalism, philosophy, power-of-words, words"
Don't explain your philosophy. Embody it.,Epictetus,"philosophers, philosophy"
There ain't no such thing as a free lunch.,"Pierre Dos Utt, Tanstaafl: A Plan for a New Economic World Order","economics, misattributed-milton-friedman, misattributed-robert-a-heinlein, philosophy, politics, tanstaafl, tanstafl, thermodynamics"
"Au milieu de l'hiver, j'ai découvert en moi un invincible été.",Albert Camus,"existentialism, hope, philosophy"
A cult is a religion with no political power.,Tom Wolfe,"atheism, philosophy"
The glory of Christianity is to conquer by forgiveness.,William Blake,"christianity, god, philosophy, poetry"
The best revenge is not to be like your enemy.,"Marcus Aurelius, Meditations","philosophy, revenge"
Fair speech may hide a foul heart.,"J.R.R. Tolkien, The Two Towers",philosophy
Who is John Galt?,"Ayn Rand, Atlas Shrugged","first-lines, galt, objectivism, opening-lines, philosophy, taggart"
Doing nothing is better than being busy doing nothing.,Lao Tzu,"philosophy, taoism"
"Whereof one cannot speak, thereof one must be silent.","Ludwig Wittgenstein, Tractatus Logico-Philosophicus","philosophy, taoism"
Nature is pleased with simplicity. And nature is no dummy,Isaac Newton,"nature, philosophy, simplicity, wisdom"
Knowledge is power is time is money.,"Robert Thier, Storm and Silence","business, courage, philosophy, power"
To make light of philosophy is to be a true philosopher.,"Blaise Pascal, Pensées",philosophy
Choose to be happy. It is what we have all done.,"Melissa Marr, Fragile Eternity",philosophy
I am my world.,Ludwig Wittgenstein,"philosophy, solipsism"
No man was ever wise by chance,Seneca,philosophy
Be wiser than other people if you can, but do not tell them so.,Dale Carnegie
All is mystery, but he is a slave who will not struggle to penetrate the dark veil.,Benjamin Disraeli
"I am one thing, my writings are another.",Friedrich Nietzsche,philosophy
"I think, therefore I'll think.","Ayn Rand, Atlas Shrugged","galt, objectivism, philosophy, taggart"
"If you can't fight and you can't flee, flow.",Robert Elias,"inspiration, philosophy"
Each star is a mirror reflecting the truth inside you.,"Aberjhani, Journey through the Power of the Rainbow: Quotations from a Life Made Out of Poetry","aberjhani, inspirational-quotes, metaphysics, philosophy, poetry, self-esteem, spirituality, stars, truth, world-suicide-prevention-day"
All men by nature desire knowledge.,"Aristotle, On Man in the Universe","knowledge, philosophy"
Do not ruin today with mourning tomorrow.,"Catherynne M. Valente, The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making","mindfulness, philosophy, present-moment"
"I would prefer a sword to fight duel, but a pen to plan a war.","Robert Thier, Storm and Silence","business, philosophy, romance, tactics, wafare"
Things are not always what they seem, the first appearance deceives many, the intelligence of a few perceives what has been carefully hidden.
All the world's a stage.,"William Shakespeare, As You Like It","acting, humanity, philosophy, stage, theatre, universe, world"
There isnt always an explanation for everything.,"Ernest Hemingway, A Farewell to Arms",philosophy
"Why are there beings at all, instead of Nothing?","Martin Heidegger, Introduction to Metaphysics","metaphysics, philosophy"
Philosophy can make people sick.,"Aristotle, Nicomachean Ethics",philosophy
"If a thing is worth doing, it is worth doing badly.",G.K. Chesterton,philosophy
Plato was a bore.,Friedrich Nietzsche,philosophy
"Reason is, and ought only to be the slave of the passions.",David Hume,"emotions, philosophy, reason"
...reality is always plural and mutable.,"Robert Anton Wilson, Cosmic Trigger Volume I: Final Secret of the Illuminati","metaphysics, philosophy"
Show me that I m everywhere and get me home for tea.,George Harrison,"beatles, epigram, philosophy"
Truth is neither ojectivity nor the balanced view, truth is a selfless subjectivity.,"Knut Hamsun, Hunger"
I only know that I know nothing,Socrates,"creative-thinking, intellect, knowledge, philosophy, wisdom"
Things always become obvious after the fact,Nassim Nicholas Taleb,philosophy
This inhuman place makes human monsters.,"Stephen King, The Shining","philosophy, scary"
The map is not the territory.,Alfred Korzybski,"cybernetics, metaphysics, philosophy"
A prison becomes a home when you have the key.,George Sterling,"anarchy, conformity, philosophy"
Everyone is the other and no one is himself.,"Martin Heidegger, Being and Time","being-and-time, heidegger, philosophy"
"Philosophy is really nostalgia, the desire to be at home.",Novalis,"home, nostalgia, philosophy"
To ridicule philosophy is really to philosophize.,Blaise Pascal,philosophy
Nothing important is learned, it is simply remembered.,"Carlos Ruiz Zafón, The Angel's Game"
Hope does not leave without being given permission.,Rick Riordan,"hope, inspirational-life, percy-jackson, philosophy, the-last-olympian"
...the rarest of all human qualities is consistency.,Jeremy Bentham,"philosophy, utilitarianism"
Philosophy is common sense with big words.,James Madison,philosophy
How small a thought it takes to fill a life.,Ludwig Wittgenstein,philosophy
"Do you shovel to survive, or survive to shovel?","Kōbō Abe, The Woman in the Dunes","books, life-and-death, philosophy"
Philosophy cannot be taught, it is the application of the sciences to truth.,"Alexandre Dumas, The Count of Monte Cristo"
All things one has forgotten scream for help in dreams.,Elias Canetti,philosophy
Life... is a paradise to what we fear of death.,"William Shakespeare, Measure for Measure","measure-for-measure, philosophy, shakespeare"
"if you want it really, you get it !!!",Ravinder Singh,"biography, fiction-novel, philosophy"
Philosophy is the highest music.,Plato,"music, philosophy"
The square root of I is I.,"Vladimir Nabokov, Bend Sinister","ego, philosophy, self"
The best ideas are common property,Seneca,philosophy
Anything you're good at contributes to happiness.,Bertrand Russell,philosophy
The only safe thing is to take a chance.,Elaine May,"philosophy, risk"
We feel most alive when we are closest to death.,"Nenia Campbell, Terrorscape","creepy, death-and-dying, life, philosophy"
Freedom is obedience to self-formulated rules.,"Aristotle, The Nicomachean Ethics","freedom, philosophy"
"As soon as you have made a thought, laugh at it.",Lao Tzu,"comedy, eastern-philosophy, philosophy"
Imagine others complexly.,"John Green, Paper Towns","inspiration, inspirational, life, philosophy, wisdom"
The man who alters his way of thinking to suit others is a fool.,"Marquis de Sade, Justine, Philosophy in the Bedroom, and Other Writings",philosophy
My heart knows what my mind only think it knows.,"Noah Benshea, Jacob the Baker: Gentle Wisdom For a Complicated World","heart, knowledge, mind, philosophy"
"Pactum serva"" - ""Keep the faith",Horace,"faith, latin, philosophy"
Time deals gently only with those who take it gently.,"Anatole France, The Crime of Sylvestre Bonnard","mortality, philosophy, time"
I strive for perfection - I settle for satisfaction,Carroll Bryant,"humorous, personal, philosophy"
We can't avoid reasoning, we can only avoid doing it well.,"Peter Kreeft, Pocket Handbook of Christian Apologetics"
"Not how the world is, but that it is, is the mystery.",Ludwig Wittgenstein,philosophy
"The opposite of love is not hate, it's indifference.",Elie Wiesel,"love, philosophy"
"Death isn't the end, it's the beginning.",Jennifer Love Hewitt,"beginning, death, end, hewitt, jennifer, love, philosophy"
In presence of the Moon nobody sees stars.,Amit Kalantri,"amit-kalantri, amit-kalantri-quotes, amit-kalantri-writer, avoid, bright, celebrities, celebrity, ignore, importance, inspiration, inspirational, inspirational-quotes, moon, moonlight, motivation, motivational, motivational-quotes, neglect, night, obviate, philosophy, presence, priority, see, sky, star, stars, the-moon, watch, wisdom"
I am a citizen of the world.,"Diogenes of Sinope, The Lives and Opinions of Eminent Philosophers","cynicism, philosophy"
For every expert there is an equal and opposite expert.,"Jasper Fforde, One of Our Thursdays Is Missing",philosophy
"By what men think, we create the world around us, daily new.","Marion Zimmer Bradley, The Mists of Avalon","belief, faith, philosophy"
Neither the sun nor death can be looked at steadily.,François de La Rochefoucauld,"death, life, philosophy, sun"
Patience is the only way you can endure the gray periods.,"Teri Hatcher, Burnt Toast: And Other Philosophies of Life","actresses, inspirational, motivation, philosophy"
All things fade and quickly turn to myth.,"Marcus Aurelius, Meditations",philosophy
the serpent if it wants to become the dragon must eat itself.,Francis Bacon,"bacon, philosophy"
I have forgotten my umbrella. ,Friedrich Nietzsche,"aphorism, derrida, interpretation, philosophy"
What a lover’s heart knows let no man’s brain dispute.,"Aberjhani, Visions of a Skylark Dressed in Black","famous-author, famous-poet, hope-and-despair, inspiration, inspirational-quotes, intellectualism, intuition, love, lovers, philosophy, spirituality, valentine-s-day, wisdom"
"Life's managed, not cured. ",Phillip C. McGraw,"inspiration, inspirational, life, philosophy, psychology, self-help, wisdom"
Forgiveness is created by the restitution of the abuser, of the wrongdoer. It is not something to be squeeeeeezed out of the victim in a further act of conscience-corrupting abuse.,Stefan Molyneux
Few things are more deceptive than memories.,"Carlos Ruiz Zafón, The Shadow of the Wind","memory, philosophy, truth"
"If a man who can’t count finds a four leaf clover, is he lucky?",Stanisław Lem,philosophy
The best things in life are crazy.,"Emme Rollins, Dear Rockstar","crazy, new-adult, new-adult-romance, philosophy, rock-star, rockstar, rockstars"
What if nobody showed up at Armageddon?,C.R. Strahan,"apocalypse, humor, inspiration, philosophy"
..the most dangerous animal in a zoo is Man.,"Yann Martel, Life of Pi","animals, mankind, philosophy, truth"
To win true freeedom you must be a slave to philosophy.,"Seneca, Letters from a Stoic",philosophy
It doesn't matter how smart you are unless you stop and think.,Thomas Sowell,"philosophy, politics"
All actual life is encounter.,Martin Buber,philosophy
"Anyone who fights for the future, lives in it today.",Ayn Rand,"idealism, philosophy"
Why' is a crooked letter and can't be made straight.,"Stephen King, The Gunslinger",philosophy
A writer always writes.,Don Roff,"philosophy, writer, writing"
All my problems bow before my stubbornness.,"Amit Kalantri, Wealth of Words","bow, confidence, human, humans, inspiration, inspirational, inspirational-quotes, motivation, motivational, motivational-quotes, philosophy, problem-solving, problems, respect, respectable, respected, respectful, respecting, respecting-others, respecting-yourself, self-respect, stubborn, stubborness, stubbornly, stubbornness, wisdom, wisdom-quotes"
High thoughts must have high language.,"Aristophanes, Frogs and Other Plays",philosophy
Is it better to be loved or feared?,"Niccolò Machiavelli, The Prince","philosophy, political-philosophy"
Love is a cowboy's hardest ride.,C.B. Smith,philosophy
"I'll follow you, even to death—but I won't live with you any more.","Prosper Mérimée, Carmen","commitment, death, life, philosophy"
"Don't think, but look! (PI 66)",Ludwig Wittgenstein,"carpe-diem, philosophy, wittgenstein"
All religions are based on obsolete terminology.,"Vladimir Nabokov, Pale Fire","faith, philosophy, philosophy-of-religion, religion, theology, translation"
"The free mind, unafraid of labor, presses on to attain the good.","Laura Cereta, Collected Letters of a Renaissance Feminist","feminism, mind, philosophy, truth"
The only value of wasted time is knowledge.,"Monica Drake, Clown Girl","inspirational, knowledge, philosophy, wasted-time"
Even if you are alone you wage war with yourself.,"Dejan Stojanovic, The Sun Watches the Sun","alone, books, dejan-stojanovic, literature, literature-quotes, philosophy, poetry, poetry-quotes, poets, quotes, the-sun-watches-the-sun, war, wars, wisdom, yourself"
"Love, I think, is a gateway to the world, not an escape from it.",Mark Doty,"feelings, life, living, love, philosophy"
"We do not create life, we create death.",Marie Symeou,"dark-thoughts, deep-thoughts, philosophy, realistic"
You cannot connect with anyone except through reality.,Stefan Molyneux,"connection, delusion, friendship, people, philosophy, psychology, rationality, relations, relationships"
"If your desire is for good, the people will be good.",Confucius,"confucianism, confucius, philosophy, political, politics"
God is an ever-receding pocket of﻿ scientific ignorance.,Neil deGrasse Tyson,"atheism, philosophy, religion, science, skepticism"
What we cannot bear removes us from life, what remains can be borne.,"Marcus Aurelius, Meditations"
He who conquers himself is the mightiest warrior.,Confucius,"ancient, ancient-china, ancient-chinese, body, chinese, conquers, fighting, inspirational, philosophical, philosophy, proverb, self-improvement, self-realization, training, warrior"
Pursue not the outer entanglements, Dwell not in the inner void, Be serene in the oneness of things
"Impossible things are really rough to do, you know.","Brandon Sanderson, Alcatraz Versus the Shattered Lens","heroics, philosophy"
"Body is a home, a prison and a grave.","James Runcie, The Colour Of Heaven","body, grave, home, philosophy, prison"
"Writing blooms flowers for mind, which last forever.",Debasish Mridha,"blooms, debasish, flowers, forever, life, mind, mridha, philosophy, writing"
Having just enough life to enjoy being dead.,"Jim Holt, Why Does the World Exist?: An Existential Detective Story","existentialism, nirvana, philosophy"
"If I had to live my life over, I'd live over a saloon.",W.C. Fields,"drinking, non-sequitur, philosophy"
"In truth, Freud sees nothing and understands nothing.","Gilles Deleuze, A Thousand Plateaus: Capitalism and Schizophrenia","freud, humor, philosophy, psycoanalysis"
I drink cup of sunlight every morning to brighten myself.,Debasish Mridha,"brighten, education, happiness, hope, inspirational, intelligence, knowledge, life, love, morning, philosophy, sunlight, truth, wisdom"
There is no key to open the heart of another - except curiosity.,Stefan Molyneux,"contact, empathy, friendship, happiness, life, mindfulness, philosophy, psychology, relationships, self-knowledge"
"The better organized the state, the duller its humanity.","David Mitchell, Cloud Atlas","humorous, philosophy"
"This place has only three exits, sir: Madness, and Death.","René Daumal, A Night of Serious Drinking","insanity, madness, philosophy, surrealism"
Words are the clothes thoughts wear.,Samuel Beckett,"language, philosophy, thinking, words"
Call no man happy until he is dead.,Solon,"greek, happiness, history, philosophy, the-good-life"
Is it better to go with the flow or let the flow go?,"Aidan Chambers, Postcards from No Man's Land","philosophy, questions"
let the speaker speak truly and the judge decide justly.,"Plato, Euthyphro. Apology. Crito. Phaedo. Phaedrus.",philosophy
Hope burns eternal in the human heart.,O.R. Melling,philosophy
Conformity to the present is invisibility to the future.,Stefan Molyneux,"advancement, evolution, freedom, improvement, innovation, philosophy, progress"
Violence begins with the fork.,Mahatma Gandhi,"gandhi, philosophy, veganism"
We youths say “like” all the time because we mistrust reality.,"James S. Kunen, The Strawberry Statement: Notes of a College Revolutionary","philosophy, politics, youth"
The brightest light casts the darkest shadow.,"Jess C. Scott, The Darker Side of Life","author, books, cyberpunk, dark, dark-elves, ego, elves, fantasy, fiction, future, future-present, life, light, philosophy, series, urban-fantasy, wisdom"
There is no fate which cannot be surmounted by scorn.,Albert Camus,philosophy
"It's not oil that runs the world, it's shame.","Sherman Alexie, War Dances","philosophy, racial-politics, social-commentary"
"You were free, you are free and you will be free.",Santosh Kalwar,"death, free, freedom, life, philosophy"
Socrates should have written comics.,Mark Waid,"comics, philosophy, socrates"
Sitting still is a pain in the ass.,"Noah Levine, Against the Stream: A Buddhist Manual for Spiritual Revolutionaries","buddhism, meditation, philosophy, religion"
"I grew up once, I decided never to do it again","Benny Bellamacina, The King of Rhyme","famous-quotes, humor, life, philosophy"
"To stay or to go, it amounted to the same thing.","Albert Camus, The Stranger","absurd, choices, existentialism, philosophy"
Treat everyone you meet as if they were you.,Doug Dillon,"identity, inspiration, mindfulness, people, philosophy"
The truth is helpless when up against perception,Zack W. Van,"life, perception, philosophy, truth, zack-w-van"
All statistics have outliers.,"Nenia Campbell, Terrorscape","chance, life, outlier, philosophy, probability, statistics"
When the heart is dry the eye is dry.,"Victor Hugo, Les Misérables - anthology","heart, philosophy, tears"
"Resources are hired to give results, not reasons.","Amit Kalantri, Wealth of Words","amit-kalantri, amit-kalantri-quotes, appoint, appointment, business, business-quotes, company, complaining, complaints, corporate, employee, employees, employment, hire, hiring, hr, human, human-resource, human-resources, humans, inspiration, inspirational, inspirational-quotes, job, mangement, motivation, motivational, motivational-quotes, philosophy, reason, reasons, resource, resources, result, results, wisdom, wisdom-quotes, work, workman, workmanship"
The logical man must either deny all miracles or none.,"Charles Alexander Eastman, The Soul of the Indian","logic, miracle, philosophy"
There's no greater show on earth than observing human nature,"Benny Bellamacina, Little Luigi: A Musical Adventure","life, love, philosophy, wisdom"
What is food to one man is bitter poison to others,Titus Lucretius Carus,"lucretius, philosophy"
"What comes, is called.","Ki Longfellow, Flow Down Like Silver: Hypatia of Alexandria","christian-history, hypatia-of-alexandria, mathematics, philosophy, spirituality"
"But only he who, himself enlightened, is not afraid of shadows.","Immanuel Kant, An Answer to the Question: What Is Enlightenment?","life, philosophy"
Beauty as we feel it is something indescribable, what it is or what it means can never be said.,George Santayana
I think it was the institution...I was trying to master it.,"E. Lockhart, The Disreputable History of Frankie Landau-Banks","institution, master, mental, obsession, philosophy, strong"
"Omnia vincit amor"" - ""Love conquers all",Virgil,"love, philosophy"
Cheapen words and they'll cheapen you,Benny Bellamacina,"life, philosophy, poetry, wisdom"
"Love life, Live Love",Benny Bellamacina,"life, love, peoms, philosophy, poetry"
Education is meaningless without manners,"Benny Bellamacina, Piddly Poems for Children, v.2","inspirational, life, philosophy"
Ideas are the source of all things,Plato,"intellect, knowledge, life, philosophy, wisdom"
Disobedience is the true foundation of liberty.,Henry David Thoreau,"disobedience, free-thinking, free-will, freedom-of-expression, liberty, philosophy, protest"
"A smiling lie is a whirlwind, easy to enter, but hard to escape.","Dejan Stojanovic, The Sun Watches the Sun","books, dejan-stojanovic, escape, lie, lies, literature, literature-quotes, philosophy, poetry, poetry-quotes, poets, quotes, smiling, the-sun-watches-the-sun, whirlwind, wisdom"
İnsanoğlu nedense anlayamadığı şeylere kötülemeye meyilli.,Elif Shafak,"experience, imagination, life, philosophy, truth, writing"
A few dud universes can really clutter up your basement.,"Neal Stephenson, In the Beginning...Was the Command Line","humor, philosophy"
la vida sólo puede ser entendida mirando hacia atrás, aunque deba ser vivida mirando hacia adelante,Søren Kierkegaard
Every science begins as philosophy and ends as art, it arises in hypothesis and flows into achievement.,Will Durant
Deep connection is the antidote to madness.,Stefan Molyneux,"abuse, abuse-survivors, freedom, philosophy, psychology, trauma"
"Don't write to sell, write to tell.",Jonas Eriksson,"philosophy, writing"
A culture is made — or destroyed — by its articulate voices.,Ayn Rand,philosophy
By that which you kill are you bound.,"O.R. Melling, The Summer King",philosophy
Never say never,Charles Dickens,"inspirational, philosophy"
"I care for no man on earth, and no man on earth cares for me.","Charles Dickens, A Tale of Two Cities","a-tale-of-two-cities, alone, charles-dickens, depressed, depression, dickens, life, lonely, philosophy, sad, self-loathing, self-worth, sydney-carton"
Is it possible for a man to move the earth? Yes, but he must first find out another earth to stand upon.,Jeremy Bentham
Pride makes us artificial, humility makes us real,Thomas Merton
Life is a book. We fill the pages.,Victoria Valentine,"life, love, philosophy, romance"
Lend me your ears and you can borrow my mind,"Benny Bellamacina, The King of Rhyme","humor, life, philosophy"
Her maktul katilinde yaşamaya devam eder.,Elif Shafak,"experience, imagination, life, philosophy, truth, writing"
Knowledge becomes evil if the aim be not virtuous.,Plato,"knowledge, morality, philosophy"
The greatest untold story is the evolution of God.,G.I. Gurdjieff,"philosophy, spirituality"
Step out of my sunlight.,Diogenes Laërtius,philosophy
"For others, in spite of myself, from myself.",Emmanuel Levinas,"humor, inspirational, philosophy"
Moments are the elements of profit,"Karl Marx, Capital, Vol 1: A Critical Analysis of Capitalist Production","economics, philosophy"
Philosophy is not a spectator sport.,"Nigel Warburton, Philosophy","active, philosophy, spectator, sport"
The world was floods above and fire below,"Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West","life, philosophy"
Absurdity is the ecstasy of intellectualism.,"Criss Jami, Salomé: In Every Inch In Every Mile","absurd, absurdity, art, artist, ecstasy, experiment, experimentation, insane, insanity, intellectual, intellectualism, intelligence, madness, mind, out-of-my-mind, outrageous, philosophy, theory, thinking, thought, too-much"
"Live like a tree, giving, forgiving and free.",Debasish Mridha,"forgiving, giving, life, love, philosophy, tree, truth"
Language disguises thought.,"Ludwig Wittgenstein, Tractatus Logico-Philosophicus","linguistics, logic, philosophy, semiotics"
Who we are now is all that really matters.,"Amy Joy, The Academie","inspirational, philosophy, zen"
"This is your life, and its ending one minute at a time.","Chuck Palahniuk, Fight Club","philosophy, tyler, tyler-durden"
Poverty is a virtue which one can teach oneself.,Diogenes of Sinope,"cynicism, philosophy"
The perfect is the enemy of the good.,Voltaire,philosophy
Raise a smile and lower stress,Benny Bellamacina,"humor, life, philosophy, wisdom"
You have to be an artist and a madman...,"Vladimir Nabokov, Lolita","inspirational, life, philosophy, truth-of-life"
It’s not easy to write a poem about a poem.,Dejan Stojanovic,"books, dejan-stojanovic, literature, literature-quotes, philosophy, poems, poetry, poetry-quotes, poets, quotes, the-sun-watches-the-sun, wisdom, writing"
Don't hate the media, become the media.,"Jello Biafra, Become the Media"
Charity is no substitute for justice withheld.,Augustine of Hippo,"inspirational, morality, philosophy, religion"
"It is culture that is the bully.""",Sharon  Lee,"culture, philosophy, sociology"
Astonishment is the root of philosophy.,Paul Tillich,philosophy
All beings so far have created something beyond themselves, and do you want to be the ebb of this great flood and even go back to the beasts rather than overcome man? What is the ape to man? A laughingstock or a painful embarrassment. And man shall be just that for the overman: a laughingstock or a painful embarrassment…,"Friedrich Nietzsche, Thus Spoke Zarathustra"
